province,city,location_id,lat,lon
北京,北京市,101010100,39.9050,116.4053
天津,天津市,101030100,39.1256,117.1902
河北,石家庄市,101090101,38.0455,114.5025
河北,唐山市,101090501,39.6351,118.1754
河北,秦皇岛市,101091101,39.8882,119.5202
河北,邯郸市,101091001,36.6123,114.4907
河北,邢台市,101090901,37.0602,114.4974
河北,保定市,101090201,38.8677,115.4823
河北,张家口市,101090301,40.8119,114.8841
河北,承德市,101090402,40.9762,117.9392
河北,沧州市,101090701,38.3106,116.8575
河北,廊坊市,101090601,39.5239,116.7044
河北,衡水市,101090801,37.7351,115.6660
山西,太原市,101100101,37.8570,112.5492
山西,大同市,101100201,40.0971,113.3668
山西,阳泉市,101100301,37.8612,113.5833
山西,长治市,101100501,36.1911,113.1136
山西,晋城市,101100601,35.4976,112.8513
山西,朔州市,101100901,39.3313,112.4334
山西,晋中市,101100401,37.6965,112.7365
山西,运城市,101100801,35.0228,111.0040
山西,忻州市,101101001,38.4177,112.7335
山西,临汾市,101100701,36.0841,111.5180
山西,吕梁市,101101100,37.5244,111.1343
内蒙古,呼和浩特市,101080101,40.8421,111.7488
内蒙古,包头市,101080201,40.6213,109.9532
内蒙古,乌海市,101080301,39.6737,106.8256
内蒙古,赤峰市,101080601,42.2569,118.8876
内蒙古,通辽市,101080501,43.6174,122.2631
内蒙古,鄂尔多斯市,101080701,39.6087,109.7825
内蒙古,呼伦贝尔市,101081013,49.1665,119.7785
内蒙古,巴彦淖尔市,101080811,40.7574,107.4170
内蒙古,乌兰察布市,101080405,41.0341,113.1145
内蒙古,兴安盟,101081108,46.0763,122.0703
内蒙古,锡林郭勒盟,101080902,43.9440,116.0910
内蒙古,阿拉善盟,101081213,38.8448,105.7064
辽宁,沈阳市,101070101,41.6776,123.4647
辽宁,大连市,101070201,38.9146,121.6186
辽宁,鞍山市,101070301,41.1106,122.9956
辽宁,抚顺市,101070401,41.8813,123.9571
辽宁,本溪市,101070501,41.4868,123.6850
辽宁,丹东市,101070601,40.0007,124.3544
辽宁,锦州市,101070701,41.1193,121.1357
辽宁,营口市,101070801,40.6674,122.2352
辽宁,阜新市,101070901,42.0220,121.6701
辽宁,辽阳市,101071001,41.2694,123.1815
辽宁,盘锦市,101071301,40.7196,122.1707
辽宁,铁岭市,101071101,42.2233,123.7257
辽宁,朝阳市,101071201,41.5768,120.4512
辽宁,葫芦岛市,101071401,40.7110,120.8368
吉林,长春市,101060101,43.8170,125.3236
吉林,吉林市,101060201,43.8436,126.5530
吉林,四平市,101060401,43.1703,124.3708
吉林,辽源市,101060701,42.9027,125.1453
吉林,通化市,101060501,41.7212,125.9365
吉林,白山市,101060901,41.9425,126.4278
吉林,松原市,101060801,45.1182,124.8236
吉林,白城市,101060601,45.6190,122.8411
吉林,延边朝鲜族自治州,101060306,42.9048,129.5132
黑龙江,哈尔滨市,101050101,45.8030,126.5351
黑龙江,齐齐哈尔市,101050201,47.3421,123.9579
黑龙江,鸡西市,101051101,45.3000,130.9760
黑龙江,鹤岗市,101051201,47.3321,130.2775
黑龙江,双鸭山市,101051301,46.6434,131.1573
黑龙江,大庆市,101050901,46.5907,125.1127
黑龙江,伊春市,101050801,47.7269,128.8993
黑龙江,佳木斯市,101050401,46.8096,130.3616
黑龙江,七台河市,101051002,45.7713,131.0156
黑龙江,牡丹江市,101050301,44.5830,129.6186
黑龙江,黑河市,101050601,50.2496,127.4990
黑龙江,绥化市,101050501,46.6374,126.9929
黑龙江,大兴安岭地区,101050701,50.4113,124.1179
上海,上海市,101020100,31.2317,121.4726
江苏,南京市,101190101,32.0415,118.7674
江苏,无锡市,101190201,31.4911,120.3119
江苏,徐州市,101190801,34.2042,117.2838
江苏,常州市,101191101,31.7728,119.9470
江苏,苏州市,101190401,31.2994,120.6196
江苏,南通市,101190501,32.0162,120.8646
江苏,连云港市,101191001,34.6000,119.1788
江苏,淮安市,101190901,33.5515,119.1132
江苏,盐城市,101190701,33.3776,120.1400
江苏,扬州市,101190601,32.3932,119.4210
江苏,镇江市,101190301,32.2044,119.4528
江苏,泰州市,101191201,32.4849,119.9152
江苏,宿迁市,101191301,33.9630,118.2752
浙江,杭州市,101210101,30.2460,120.2108
浙江,宁波市,101210401,29.8603,121.6245
浙江,温州市,101210701,28.0006,120.6721
浙江,嘉兴市,101210301,30.7627,120.7509
浙江,湖州市,101210201,30.8672,120.1024
浙江,绍兴市,101210507,30.0516,120.5829
浙江,金华市,101210901,29.0895,119.6495
浙江,衢州市,101211001,28.9417,118.8726
浙江,舟山市,101211101,29.9856,122.2074
浙江,台州市,101210601,28.6614,121.4286
浙江,丽水市,101210801,28.4520,119.9218
安徽,合肥市,101220101,31.8206,117.2273
安徽,芜湖市,101220301,31.3526,118.4331
安徽,蚌埠市,101220201,32.9397,117.3632
安徽,淮南市,101220401,32.5854,117.0186
